DISTRICT,AREA (ha.) Final estimate,AREA (ha.) Revised final estimate,AREA (ha.) Average last 5 yrs. Yr ending,AREA IRRIGATED(ha.),PRODUCTION (MT) Final estimate,PRODUCTION (MT) Revised final estimate,PRODUCTION (MT) Average last 5 yrs. Yr ending,yield,YIELD (Kg/ha.) Revised final estimate,YIELD (Kg/ha.) Average last 5 yrs. Yr ending,pincode
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321023
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321024
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321025
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321026
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321201
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321202
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321203
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321204
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321205
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321206
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321207
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321208
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321209
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321210
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321211
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321212
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321213
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321214
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321215
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321216
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321217
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321218
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321219
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321220
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321221
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321222
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321223
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321224
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321225
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321226
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321401
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321402
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321403
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321404
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321405
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321406
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321407
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321408
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321409
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321410
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321411
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321412
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321413
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321414
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321415
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321416
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321417
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321418
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321419
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321420
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321421
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321422
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321423
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321424
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321425
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321426
Bikaner,103903,114379,113172,103866,280645,292603,297950,2701,2558,2633,334001
Churu,36656,37809,36490,36500,92175,80490,79238,2515,2129,2171,331001
Jaisalmer,7574,7859,8836,6861,11002,7521,13273,1453,957,1502,345001
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,331801
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334002
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334003
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334004
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334005
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334006
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334007
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334008
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334009
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334010
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334021
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334022
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334023
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334024
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334025
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334026
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334027
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334028
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334029
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334030
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334031
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334032
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334033
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334034
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334035
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334036
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334037
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334038
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334039
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334402
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334604
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334802
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464,334804
Ganganagar,199197,265812,264656,199067,859345,1167584,1127138,4314,4393,4259,335001
Hanumangarh,205773,247470,248222,202478,854844,1065445,1108525,4154,4305,4466,335512
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335002
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335003
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335004
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335005
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335006
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335007
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335008
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335009
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335010
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335011
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335012
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335013
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359,335014
Jodhpur,67736,83065,73156,67694,164739,204936,177906,2432,2467,2432,342001
